date,activity,weight,points,crono
2021-03-07,Programacao,40,0,00:00:00
2021-03-07,Afirmacoes,150,0,00:00:00
2021-03-07,Exercicios,15,0,00:00:00
2021-03-07,Domesticas,10,24,00:00:00
2021-03-07,Meditacao,50,0,00:00:00
2021-03-07,Flauta,40,0,00:00:00
2021-03-07,Neuronation/Ingles,25,0,00:00:00
2021-03-06,Pesquisas,40,80,00:00:00
2021-03-06,Programacao,40,0,00:00:00
2021-03-06,Neuronation/Ingles,25,0,00:00:00
2021-03-06,Meditacao,50,0,00:00:00
2021-03-06,Flauta,40,0,00:00:00
2021-03-06,VitaminasEtc,150,0,00:00:00
2021-03-06,Disciplinas,40,0,00:00:00
2021-03-06,Afirmacoes,150,0,00:00:00
2021-03-06,Domesticas,10,24,00:00:00
2021-03-06,Exercicios,15,0,00:00:00
2021-03-05,Exercicios,15,0,00:00:00
2021-03-05,Pesquisas,40,80,00:00:00
2021-03-05,Meditacao,50,0,00:00:00
2021-03-05,Programacao,40,0,00:00:00
2021-03-05,VitaminasEtc,150,0,00:00:00
2021-03-05,Disciplinas,40,0,00:00:00
2021-03-05,Flauta,40,0,00:00:00
2021-03-05,Neuronation/Ingles,25,0,00:00:00
2021-03-05,Afirmacoes,150,0,00:00:00
2021-03-05,Domesticas,10,24,00:00:00
2021-03-04,Neuronation/Ingles,25,0,00:00:00
2021-03-04,Exercicios,15,0,00:00:00
2021-03-04,Programacao,40,0,00:00:00
2021-03-04,Pesquisas,40,80,00:00:00
2021-03-04,Meditacao,50,0,00:00:00
2021-03-04,Afirmacoes,150,0,00:00:00
2021-03-04,Disciplinas,40,0,00:00:00
2021-03-04,Flauta,40,0,00:00:00
2021-03-04,VitaminasEtc,150,0,00:00:00
2021-03-04,Domesticas,10,24,00:00:00
2021-03-03,Pesquisas,40,90,00:00:00
2021-03-03,Exercicios,15,2,00:00:00
2021-03-03,Meditacao,50,0,00:00:00
2021-03-03,Disciplinas,40,5,00:00:00
2021-03-03,Afirmacoes,150,0,00:00:00
2021-03-03,Programacao,40,0,00:00:00
2021-03-03,Flauta,40,0,00:00:00
2021-03-03,Neuronation/Ingles,25,0,00:00:00
2021-03-03,Domesticas,10,12,00:00:00
2021-03-03,VitaminasEtc,150,1,00:00:00
2021-03-02,Pesquisas,40,48,00:00:00
2021-03-02,Neuronation/Ingles,25,0,00:00:00
2021-03-02,Disciplinas,40,48,00:00:00
2021-03-02,Afirmacoes,150,0,00:00:00
2021-03-02,Exercicios,15,0,00:00:00
2021-03-02,Meditacao,50,0,00:00:00
2021-03-02,VitaminasEtc,150,1,00:00:00
2021-03-02,Flauta,40,0,00:00:00
2021-03-02,Domesticas,10,12,00:00:00
2021-03-02,Programacao,40,0,00:00:00
2021-03-01,Disciplinas,40,48,00:00:00
2021-03-01,Meditacao,50,0,00:00:00
2021-03-01,Programacao,40,0,00:00:00
2021-03-01,Domesticas,10,12,00:00:00
2021-03-01,Afirmacoes,150,0,00:00:00
2021-03-01,VitaminasEtc,150,1,00:00:00
2021-03-01,Flauta,40,0,00:00:00
2021-03-01,Pesquisas,40,48,00:00:00
2021-03-01,Neuronation/Ingles,25,0,00:00:00
2021-03-01,Exercicios,15,12,00:00:00
2021-02-28,Disciplinas,40,60,00:00:00
2021-02-28,Programacao,40,0,00:00:00
2021-02-28,Pesquisas,40,18,00:00:00
2021-02-28,Meditacao,50,0,00:00:00
2021-02-28,Afirmacoes,150,0,00:00:00
2021-02-28,Neuronation/Ingles,25,0,00:00:00
2021-02-28,VitaminasEtc,150,1,00:00:00
2021-02-28,Exercicios,15,20,00:00:00
2021-02-28,Domesticas,10,12,00:00:00
2021-02-28,Flauta,40,0,00:00:00
2021-02-27,Programacao,40,0,00:00:00
2021-02-27,Exercicios,15,0,00:00:00
2021-02-27,Disciplinas,40,0,00:00:00
2021-02-27,Meditacao,50,0,00:00:00
2021-02-27,Afirmacoes,150,0,00:00:00
2021-02-27,Neuronation/Ingles,25,0,00:00:00
2021-02-27,VitaminasEtc,150,1,00:00:00
2021-02-27,Domesticas,10,12,00:00:00
2021-02-27,Flauta,40,0,00:00:00
2021-02-27,Pesquisas,40,90,00:00:00
2021-02-26,VitaminasEtc,150,1,00:00:00
2021-02-26,Pesquisas,40,6,00:00:00
2021-02-26,Domesticas,10,24,00:00:00
2021-02-26,Exercicios,15,0,00:00:00
2021-02-26,Flauta,40,0,00:00:00
2021-02-26,Neuronation/Ingles,25,0,00:00:00
2021-02-26,Disciplinas,40,60,00:00:00
2021-02-26,Meditacao,50,0,00:00:00
2021-02-26,Afirmacoes,150,0,00:00:00
2021-02-26,Programacao,40,0,00:00:00
2021-02-25,VitaminasEtc,150,1,00:00:00
2021-02-25,Domesticas,10,12,00:00:00
2021-02-25,Exercicios,15,0,00:00:00
2021-02-25,Meditacao,50,0,00:00:00
2021-02-25,Pesquisas,40,24,00:00:00
2021-02-25,Afirmacoes,150,0,00:00:00
2021-02-25,Flauta,40,0,00:00:00
2021-02-25,Disciplinas,40,70,00:00:00
2021-02-25,Programacao,40,0,00:00:00
2021-02-25,Neuronation/Ingles,25,0,00:00:00
2021-02-24,Exercicios,15,12,00:00:00
2021-02-24,Programacao,40,0,00:00:00
2021-02-24,Disciplinas,40,50,00:00:00
2021-02-24,Neuronation/Ingles,25,0,00:00:00
2021-02-24,Meditacao,50,0,00:00:00
2021-02-24,Domesticas,10,12,00:00:00
2021-02-24,VitaminasEtc,150,1,00:00:00
2021-02-24,Afirmacoes,150,0,00:00:00
2021-02-24,Flauta,40,0,00:00:00
2021-02-24,Pesquisas,40,48,00:00:00
2021-02-23,Flauta,40,0,00:00:00
2021-02-23,Domesticas,10,18,00:00:00
2021-02-23,Disciplinas,40,0,00:00:00
2021-02-23,Afirmacoes,150,0,00:00:00
2021-02-23,Programacao,40,0,00:00:00
2021-02-23,Exercicios,15,4,00:00:00
2021-02-23,Meditacao,50,0,00:00:00
2021-02-23,Pesquisas,40,100,00:00:00
2021-02-23,Neuronation/Ingles,25,0,00:00:00
2021-02-23,VitaminasEtc,150,1,00:00:00
2021-02-22,VitaminasEtc,150,1,00:00:00
2021-02-22,Neuronation/Ingles,25,0,00:00:00
2021-02-22,Exercicios,15,0,00:00:00
2021-02-22,Afirmacoes,150,0,00:00:00
2021-02-22,Meditacao,50,0,00:00:00
2021-02-22,Flauta,40,0,00:00:00
2021-02-22,Programacao,40,0,00:00:00
2021-02-22,Domesticas,10,12,00:00:00
2021-02-22,Pesquisas,40,100,00:00:00
2021-02-22,Disciplinas,40,0,00:00:00
2021-02-21,Afirmacoes,150,0,00:00:00
2021-02-21,VitaminasEtc,150,1,00:00:00
2021-02-21,Neuronation/Ingles,25,0,00:00:00
2021-02-21,Pesquisas,40,96,00:00:00
2021-02-21,Meditacao,50,4,00:00:00
2021-02-21,Exercicios,15,6,00:00:00
2021-02-21,Disciplinas,40,0,00:00:00
2021-02-21,Flauta,40,0,00:00:00
2021-02-21,Domesticas,10,0,00:00:00
2021-02-21,Programacao,40,0,00:00:00
2021-02-20,Neuronation/Ingles,25,0,00:00:00
2021-02-20,VitaminasEtc,150,0,00:00:00
2021-02-20,Afirmacoes,150,0,00:00:00
2021-02-20,Pesquisas,40,6,00:00:00
2021-02-20,Domesticas,10,0,00:00:00
2021-02-20,Programacao,40,0,00:00:00
2021-02-20,Flauta,40,0,00:00:00
2021-02-20,Disciplinas,40,96,00:00:00
2021-02-20,Exercicios,15,0,00:00:00
2021-02-20,Meditacao,50,0,00:00:00
2021-02-19,Disciplinas,40,60,00:00:00
2021-02-19,Domesticas,10,36,00:00:00
2021-02-19,Exercicios,15,0,00:00:00
2021-02-19,VitaminasEtc,150,0,00:00:00
2021-02-19,Afirmacoes,150,0,00:00:00
2021-02-19,Pesquisas,40,24,00:00:00
2021-02-19,Neuronation/Ingles,25,0,00:00:00
2021-02-19,Programacao,40,0,00:00:00
2021-02-19,Flauta,40,0,00:00:00
2021-02-19,Meditacao,50,0,00:00:00
2021-02-18,Domesticas,10,30,00:00:00
2021-02-18,Exercicios,15,0,00:00:00
2021-02-18,Neuronation/Ingles,25,0,00:00:00
2021-02-18,Meditacao,50,0,00:00:00
2021-02-18,Pesquisas,40,50,00:00:00
2021-02-18,Programacao,40,0,00:00:00
2021-02-18,Flauta,40,0,00:00:00
2021-02-18,VitaminasEtc,150,1,00:00:00
2021-02-18,Disciplinas,40,60,00:00:00
2021-02-18,Afirmacoes,150,0,00:00:00
2021-02-17,Flauta,40,0,00:00:00
2021-02-17,VitaminasEtc,150,1,00:00:00
2021-02-17,Meditacao,50,0,00:00:00
2021-02-17,Afirmacoes,150,0,00:00:00
2021-02-17,Exercicios,15,0,00:00:00
2021-02-17,Neuronation/Ingles,25,0,00:00:00
2021-02-17,Disciplinas,40,0,00:00:00
2021-02-17,Domesticas,10,18,00:00:00
2021-02-17,Programacao,40,0,00:00:00
2021-02-17,Pesquisas,40,100,00:00:00
2021-02-16,Pesquisas,40,54,00:00:00
2021-02-16,Neuronation/Ingles,25,0,00:00:00
2021-02-16,Afirmacoes,150,0,00:00:00
2021-02-16,VitaminasEtc,150,1,00:00:00
2021-02-16,Programacao,40,0,00:00:00
2021-02-16,Flauta,40,0,00:00:00
2021-02-16,Meditacao,50,2,00:00:00
2021-02-16,Exercicios,15,2,00:00:00
2021-02-16,Disciplinas,40,0,00:00:00
2021-02-16,Domesticas,10,48,00:00:00
2021-02-15,Flauta,40,0,00:00:00
2021-02-15,Programacao,40,0,00:00:00
2021-02-15,VitaminasEtc,150,1,00:00:00
2021-02-15,Disciplinas,40,80,00:00:00
2021-02-15,Meditacao,50,0,00:00:00
2021-02-15,Afirmacoes,150,0,00:00:00
2021-02-15,Exercicios,15,0,00:00:00
2021-02-15,Pesquisas,40,5,00:00:00
2021-02-15,Neuronation/Ingles,25,0,00:00:00
2021-02-15,Domesticas,10,30,00:00:00
2021-02-14,Afirmacoes,150,0,00:00:00
2021-02-14,Domesticas,10,48,00:00:00
2021-02-14,Pesquisas,40,60,00:00:00
2021-02-14,Programacao,40,0,00:00:00
2021-02-14,Disciplinas,40,0,00:00:00
2021-02-14,Meditacao,50,3,00:00:00
2021-02-14,Exercicios,15,0,00:00:00
2021-02-14,VitaminasEtc,150,1,00:00:00
2021-02-14,Neuronation/Ingles,25,0,00:00:00
2021-02-14,Flauta,40,0,00:00:00
2021-02-13,Neuronation/Ingles,25,0,00:00:00
2021-02-13,Flauta,40,0,00:00:00
2021-02-13,Pesquisas,40,90,00:00:00
2021-02-13,Disciplinas,40,0,00:00:00
2021-02-13,Domesticas,10,18,00:00:00
2021-02-13,Exercicios,15,0,00:00:00
2021-02-13,Programacao,40,0,00:00:00
2021-02-13,VitaminasEtc,150,1,00:00:00
2021-02-13,Afirmacoes,150,0,00:00:00
2021-02-13,Meditacao,50,9,00:00:00
2021-02-12,Neuronation/Ingles,25,0,00:00:00
2021-02-12,Flauta,40,0,00:00:00
2021-02-12,Domesticas,10,36,00:00:00
2021-02-12,Disciplinas,40,6,00:00:00
2021-02-12,Programacao,40,0,00:00:00
2021-02-12,Exercicios,15,6,00:00:00
2021-02-12,VitaminasEtc,150,1,00:00:00
2021-02-12,Meditacao,50,2,00:00:00
2021-02-12,Afirmacoes,150,0,00:00:00
2021-02-12,Pesquisas,40,72,00:00:00
2021-02-11,Programacao,40,0,00:00:00
2021-02-11,Domesticas,10,24,00:00:00
2021-02-11,Disciplinas,40,0,00:00:00
2021-02-11,Flauta,40,0,00:00:00
2021-02-11,Exercicios,15,2,00:00:00
2021-02-11,VitaminasEtc,150,1,00:00:00
2021-02-11,Afirmacoes,150,0,00:00:00
2021-02-11,Meditacao,50,2,00:00:00
2021-02-11,Pesquisas,40,90,00:00:00
2021-02-11,Neuronation/Ingles,25,0,00:00:00
2021-02-10,Afirmacoes,150,0,00:00:00
2021-02-10,VitaminasEtc,150,1,00:00:00
2021-02-10,Flauta,40,0,00:00:00
2021-02-10,Disciplinas,40,0,00:00:00
2021-02-10,Programacao,40,24,00:00:00
2021-02-10,Pesquisas,40,60,00:00:00
2021-02-10,Neuronation/Ingles,25,0,00:00:00
2021-02-10,Domesticas,10,36,00:00:00
2021-02-10,Meditacao,50,0,00:00:00
2021-02-10,Exercicios,15,12,00:00:00
2021-02-09,Flauta,40,0,00:00:00
2021-02-09,Pesquisas,40,48,00:00:00
2021-02-09,VitaminasEtc,150,0,00:00:00
2021-02-09,Domesticas,10,36,00:00:00
2021-02-09,Programacao,40,12,00:00:00
2021-02-09,Exercicios,15,3,00:00:00
2021-02-09,Afirmacoes,150,0,00:00:00
2021-02-09,Meditacao,50,0,00:00:00
2021-02-09,Disciplinas,40,0,00:00:00
2021-02-09,Neuronation/Ingles,25,0,00:00:00
2021-02-08,Domesticas,10,48,00:00:00
2021-02-08,Flauta,40,0,00:00:00
2021-02-08,VitaminasEtc,150,1,00:00:00
2021-02-08,Neuronation/Ingles,25,0,00:00:00
2021-02-08,Pesquisas,40,48,00:00:00
2021-02-08,Exercicios,15,2,00:00:00
2021-02-08,Afirmacoes,150,0,00:00:00
2021-02-08,Programacao,40,12,00:00:00
2021-02-08,Meditacao,50,0,00:00:00
2021-02-08,Disciplinas,40,0,00:00:00
2021-02-07,Programacao,40,24,00:00:00
2021-02-07,VitaminasEtc,150,1,00:00:00
2021-02-07,Domesticas,10,24,00:00:00
2021-02-07,Afirmacoes,150,0,00:00:00
2021-02-07,Disciplinas,40,0,00:00:00
2021-02-07,Neuronation/Ingles,25,0,00:00:00
2021-02-07,Flauta,40,0,00:00:00
2021-02-07,Exercicios,15,0,00:00:00
2021-02-07,Pesquisas,40,48,00:00:00
2021-02-07,Meditacao,50,0,00:00:00
2021-02-06,Programacao,40,0,00:00:00
2021-02-06,Pesquisas,40,24,00:00:00
2021-02-06,Meditacao,50,0,00:00:00
2021-02-06,Exercicios,15,0,00:00:00
2021-02-06,Flauta,40,0,00:00:00
2021-02-06,Domesticas,10,48,00:00:00
2021-02-06,Disciplinas,40,36,00:00:00
2021-02-06,Neuronation/Ingles,25,0,00:00:00
2021-02-06,VitaminasEtc,150,1,00:00:00
2021-02-06,Afirmacoes,150,0,00:00:00
2021-02-05,Neuronation/Ingles,25,0,00:00:00
2021-02-05,VitaminasEtc,150,1,00:00:00
2021-02-05,Domesticas,10,24,00:00:00
2021-02-05,Pesquisas,40,30,00:00:00
2021-02-05,Programacao,40,0,00:00:00
2021-02-05,Disciplinas,40,64,00:00:00
2021-02-05,Afirmacoes,150,0,00:00:00
2021-02-05,Exercicios,15,0,00:00:00
2021-02-05,Flauta,40,0,00:00:00
2021-02-05,Meditacao,50,3,00:00:00
2021-02-04,Meditacao,50,12,00:00:00
2021-02-04,Afirmacoes,150,0,00:00:00
2021-02-04,VitaminasEtc,150,1,00:00:00
2021-02-04,Disciplinas,40,18,00:00:00
2021-02-04,Programacao,40,40,00:00:00
2021-02-04,Flauta,40,0,00:00:00
2021-02-04,Domesticas,10,40,00:00:00
2021-02-04,Exercicios,15,0,00:00:00
2021-02-04,Pesquisas,40,24,00:00:00
2021-02-04,Neuronation/Ingles,25,0,00:00:00
2021-02-03,Afirmacoes,150,0,00:00:00
2021-02-03,VitaminasEtc,150,1,00:00:00
2021-02-03,Domesticas,10,24,00:00:00
2021-02-03,Pesquisas,40,56,00:00:00
2021-02-03,Meditacao,50,5,00:00:00
2021-02-03,Neuronation/Ingles,25,0,00:00:00
2021-02-03,Disciplinas,40,36,00:00:00
2021-02-03,Flauta,40,0,00:00:00
2021-02-03,Programacao,40,0,00:00:00
2021-02-03,Exercicios,15,0,00:00:00
2021-02-02,Domesticas,10,24,00:00:00
2021-02-02,VitaminasEtc,150,1,00:00:00
2021-02-02,Programacao,40,0,00:00:00
2021-02-02,Flauta,40,0,00:00:00
2021-02-02,Afirmacoes,150,0,00:00:00
2021-02-02,Exercicios,15,2,00:00:00
2021-02-02,Neuronation/Ingles,25,0,00:00:00
2021-02-02,Meditacao,50,0,00:00:00
2021-02-02,Disciplinas,40,50,00:00:00
2021-02-02,Pesquisas,40,36,00:00:00
2021-02-01,Pesquisas,40,24,00:00:00
2021-02-01,VitaminasEtc,150,1,00:00:00
2021-02-01,Afirmacoes,150,0,00:00:00
2021-02-01,Neuronation/Ingles,25,0,00:00:00
2021-02-01,Domesticas,10,48,00:00:00
2021-02-01,Disciplinas,40,40,00:00:00
2021-02-01,Meditacao,50,4,00:00:00
2021-02-01,Exercicios,15,0,00:00:00
2021-02-01,Programacao,40,12,00:00:00
2021-02-01,Flauta,40,0,00:00:00
2021-01-31,Exercicios,15,0,00:00:00
2021-01-31,Neuronation/Ingles,25,0,00:00:00
2021-01-31,Flauta,40,0,00:00:00
2021-01-31,Programacao,40,6,00:00:00
2021-01-31,Pesquisas,40,80,00:00:00
2021-01-31,Afirmacoes,150,0,00:00:00
2021-01-31,VitaminasEtc,150,1,00:00:00
2021-01-31,Domesticas,10,30,00:00:00
2021-01-31,Disciplinas,40,0,00:00:00
2021-01-31,Meditacao,50,4,00:00:00
2021-01-30,Pesquisas,40,96,00:00:00
